pid,f_name,l_name,b_date,phone,aadhar,sys_cre_date,sys_upd_date,sex,p_add,e_add,bl_gr,pol_no,claim_id,pol_type_id,med_hist
1,L.N. Rajan,null,1993-02-12 00:00:00,12345678,12345432,2019-02-12 00:00:00,1970-01-01 00:00:00,M,P_101,E_111,A+,100000,3000,111,null
4,Mr.Vijay Chand,null,1993-02-15 00:00:00,12345681,12345435,2019-02-15 00:00:00,1970-01-01 00:00:00,M,P_104,E_114,AB-,100003,3003,114,null
5,Burjor D.,null,1993-02-16 00:00:00,12345682,12345436,2019-02-16 00:00:00,1970-01-01 00:00:00,M,P_105,E_115,B-,100004,3004,115,null
8,Vijay S,null,1993-02-19 00:00:00,12345685,12345439,2019-02-19 00:00:00,1970-01-01 00:00:00,M,P_108,E_118,A+,100007,3007,112,null
9,Ms. Savita ,null,1993-02-20 00:00:00,12345686,12345440,2019-02-20 00:00:00,1970-01-01 00:00:00,M,P_109,E_119,B+,100008,3008,113,null
11,S.K. Agrawala,null,1993-02-22 00:00:00,12345688,12345442,2019-02-22 00:00:00,1970-01-01 00:00:00,M,P_111,E_121,AB-,100010,3010,115,null
12,Punit Mittal,null,1993-02-23 00:00:00,12345689,12345443,2019-02-23 00:00:00,1970-01-01 00:00:00,M,P_112,E_122,B-,100011,0,116,null
13,Ms. Mercy Susan,null,1993-02-24 00:00:00,12345690,12345444,2019-02-24 00:00:00,1970-01-01 00:00:00,M,P_113,E_123,O+,100012,0,111,null
14,P. S.,null,1993-02-25 00:00:00,12345691,12345445,2019-02-25 00:00:00,1970-01-01 00:00:00,M,P_114,E_124,O-,100013,0,112,null
15,N. V. K. Mohan,null,1993-02-26 00:00:00,12345692,12345446,2019-02-26 00:00:00,1970-01-01 00:00:00,M,P_115,E_125,A+,100014,0,113,null
16,S. Ramesh Babu,null,1993-02-27 00:00:00,12345693,12345447,2019-02-27 00:00:00,1970-01-01 00:00:00,M,P_116,E_126,B+,100015,0,114,null
18,K. Ravi,null,1993-03-01 00:00:00,12345695,12345449,2019-03-01 00:00:00,1970-01-01 00:00:00,M,P_118,E_128,AB-,100017,0,116,null
22,Ms.Gool,null,1993-03-05 00:00:00,12345699,12345453,2019-03-05 00:00:00,1970-01-01 00:00:00,M,P_122,E_132,A+,100021,0,114,null
23,S.V. Karthick,null,1993-03-06 00:00:00,12345700,12345454,2019-03-06 00:00:00,1970-01-01 00:00:00,M,P_123,E_133,B+,100022,0,115,null
24,Shishir,null,1993-03-07 00:00:00,12345701,12345455,2019-03-07 00:00:00,1970-01-01 00:00:00,F,P_124,E_134,AB+,100023,0,116,null
25,Shalini Baigh,null,1993-03-08 00:00:00,12345702,12345456,2019-03-08 00:00:00,1970-01-01 00:00:00,F,P_125,E_135,AB-,100024,0,111,null
26,Ganapathy,null,1993-03-09 00:00:00,12345703,12345457,2019-03-09 00:00:00,1970-01-01 00:00:00,F,P_101,E_136,B-,100025,0,112,null
28,P. K.,null,1993-03-11 00:00:00,12345705,12345459,2019-03-11 00:00:00,1970-01-01 00:00:00,F,P_103,E_138,O-,100027,0,114,null
32,Vaman Sabharwal,null,1993-03-15 00:00:00,12345709,12345463,2019-03-15 00:00:00,1970-01-01 00:00:00,F,P_107,E_142,AB-,100031,0,112,null
33,Gopal N,null,1993-03-16 00:00:00,12345710,12345464,2019-03-16 00:00:00,1970-01-01 00:00:00,F,P_108,E_143,B-,100032,0,113,null
34,Ashok Malu,null,1993-03-17 00:00:00,12345711,12345465,2019-03-17 00:00:00,1970-01-01 00:00:00,F,P_109,E_144,O+,100033,0,114,null
35,Vidyadhar A,null,1993-03-18 00:00:00,12345712,12345466,2019-03-18 00:00:00,1970-01-01 00:00:00,F,P_110,E_145,O-,100034,0,115,null
36,R.B. Panchal,null,1993-03-19 00:00:00,12345713,12345467,2019-03-19 00:00:00,1970-01-01 00:00:00,F,P_111,E_146,A+,100035,0,116,null
37,Mr.Girish V,null,1993-03-20 00:00:00,12345714,12345468,2019-03-20 00:00:00,1970-01-01 00:00:00,F,P_112,E_147,B+,100036,0,111,null
42,Bharat,null,1993-03-25 00:00:00,12345719,12345473,2019-03-25 00:00:00,1970-01-01 00:00:00,F,P_117,E_152,O-,100041,0,116,null
44,Suresh Babu,null,1993-03-27 00:00:00,12345721,12345475,2019-03-27 00:00:00,1970-01-01 00:00:00,F,P_119,E_154,B+,100043,0,112,null
47,K K Kohli,null,1993-03-30 00:00:00,12345724,12345478,2019-03-30 00:00:00,1970-01-01 00:00:00,F,P_122,E_157,B-,100046,0,115,null
49,Amit Verma,null,1993-04-01 00:00:00,12345726,12345480,2019-04-01 00:00:00,1970-01-01 00:00:00,F,P_124,E_159,O-,100048,0,111,null
50,Amit Verma,null,1993-04-02 00:00:00,12345727,12345481,2019-04-02 00:00:00,1970-01-01 00:00:00,F,P_125,E_160,A+,100049,0,112,null
52,S Ganapathy,null,1993-04-04 00:00:00,12345729,12345483,2019-04-04 00:00:00,1970-01-01 00:00:00,F,P_102,E_162,AB+,100051,0,114,null
53,V. Mahesh,null,1993-04-05 00:00:00,12345730,12345484,2019-04-05 00:00:00,1970-01-01 00:00:00,F,P_103,E_163,AB-,100052,0,115,null
55,R. Chandrasekaran,null,1993-04-07 00:00:00,12345732,12345486,2019-04-07 00:00:00,1970-01-01 00:00:00,F,P_105,E_165,A+,100054,0,111,null
56,Sanjeev Nandu,null,1993-04-08 00:00:00,12345733,12345487,2019-04-08 00:00:00,1970-01-01 00:00:00,F,P_106,E_166,B+,100055,0,112,null
62,Aloke,null,1993-04-14 00:00:00,12345739,12345493,2019-04-14 00:00:00,1970-01-01 00:00:00,M,P_112,E_172,A+,100061,0,112,null
63,Uday V,null,1993-04-15 00:00:00,12345740,12345494,2019-04-15 00:00:00,1970-01-01 00:00:00,M,P_113,E_173,B+,100062,0,113,null
66,K. G. George,null,1993-04-18 00:00:00,12345743,12345497,2019-04-18 00:00:00,1970-01-01 00:00:00,M,P_116,E_176,B-,100065,0,116,null
71,Manoj Agarwal,null,1993-04-23 00:00:00,12345748,12345502,2019-04-23 00:00:00,1970-01-01 00:00:00,M,P_121,E_181,AB+,100070,0,115,null
72,Rajesh Shah,null,1993-04-24 00:00:00,12345749,12345503,2019-04-24 00:00:00,1970-01-01 00:00:00,M,P_122,E_182,AB-,100071,0,116,null
74,Naresh Chander,null,1993-04-26 00:00:00,12345751,12345505,2019-04-26 00:00:00,1970-01-01 00:00:00,M,P_124,E_184,O+,100073,0,112,null
75,J. Banerjee,null,1993-04-27 00:00:00,12345752,12345506,2019-04-27 00:00:00,1970-01-01 00:00:00,M,P_125,E_185,O-,100074,0,113,null
76,Manoj Kumar,null,1993-04-28 00:00:00,12345753,12345507,2019-04-28 00:00:00,1970-01-01 00:00:00,M,P_101,E_186,A+,100075,0,114,null
78,Michael ,null,1993-04-30 00:00:00,12345755,12345509,2019-04-30 00:00:00,1970-01-01 00:00:00,M,P_103,E_188,AB+,100077,0,116,null
82,Manas Roy,null,1993-05-04 00:00:00,12345759,12345513,2019-05-04 00:00:00,1970-01-01 00:00:00,F,P_107,E_192,B+,100081,0,114,null
87,K. Raman,null,1993-05-09 00:00:00,12345764,12345518,2019-05-09 00:00:00,1970-01-01 00:00:00,F,P_112,E_197,O-,100086,0,113,null
88,Mahendra,null,1993-05-10 00:00:00,12345765,12345519,2019-05-10 00:00:00,1970-01-01 00:00:00,F,P_113,E_198,A+,100087,0,114,null
92,Ravindra Joshi,null,1993-05-14 00:00:00,12345769,12345523,2019-05-14 00:00:00,1970-01-01 00:00:00,F,P_117,E_202,B-,100091,0,112,null
94,Ms. Pushpa ,null,1993-05-16 00:00:00,12345771,12345525,2019-05-16 00:00:00,1970-01-01 00:00:00,F,P_119,E_204,O-,100093,0,114,null
95,P.V.Srinivasa,null,1993-05-17 00:00:00,12345772,12345526,2019-05-17 00:00:00,1970-01-01 00:00:00,F,P_120,E_205,A+,100094,0,115,null
100,Vinayak A,null,1993-05-22 00:00:00,12345777,12345531,2019-05-22 00:00:00,1970-01-01 00:00:00,F,P_125,E_210,O+,100099,0,115,null
102,Vinayak C,null,\N,12345779,12345533,2019-05-22 00:00:00,2019-12-25 00:00:00,F,P_101,E_207,B+,100101,0,115,null
103,Vinayak D,null,\N,12345780,12345534,2019-05-22 00:00:00,2019-12-25 00:00:00,F,P_102,E_208,AB+,100102,0,115,null
